sessionDate,seasonName,metric,category,value,player_id
2023-07-02,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-02,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-02,2023/2024,emboss_baseline_score,total,0.0015277907458670615,1
2023-07-02,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-02,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-02,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-02,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-02,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-02,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-02,2023/2024,soreness_baseline_completeness,soreness,0.0,1
2023-07-02,2023/2024,soreness_baseline_composite,soreness,-0.09986674987121212,1
2023-07-02,2023/2024,subjective_baseline_completeness,subjective,0.0,1
2023-07-02,2023/2024,subjective_baseline_composite,subjective,0.030064673213957796,1
2023-07-03,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-03,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-03,2023/2024,emboss_baseline_score,total,0.0015277907458670615,1
2023-07-03,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-03,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-03,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-03,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-03,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-03,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-03,2023/2024,soreness_baseline_completeness,soreness,0.0,1
2023-07-03,2023/2024,soreness_baseline_composite,soreness,-0.09986674987121212,1
2023-07-03,2023/2024,subjective_baseline_completeness,subjective,0.0,1
2023-07-03,2023/2024,subjective_baseline_composite,subjective,0.030064673213957796,1
2023-07-04,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-04,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-04,2023/2024,emboss_baseline_score,total,0.0,1
2023-07-04,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-04,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-04,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-04,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-04,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-04,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-04,2023/2024,soreness_baseline_completeness,soreness,0.032258065,1
2023-07-04,2023/2024,soreness_baseline_composite,soreness,0.0,1
2023-07-04,2023/2024,subjective_baseline_completeness,subjective,0.0,1
2023-07-04,2023/2024,subjective_baseline_composite,subjective,0.030064673213957796,1
2023-07-05,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-05,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-05,2023/2024,emboss_baseline_score,total,0.0,1
2023-07-05,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-05,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-05,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-05,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-05,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-05,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-05,2023/2024,soreness_baseline_completeness,soreness,0.064516129,1
2023-07-05,2023/2024,soreness_baseline_composite,soreness,0.0,1
2023-07-05,2023/2024,subjective_baseline_completeness,subjective,0.010752688,1
2023-07-05,2023/2024,subjective_baseline_composite,subjective,0.0,1
2023-07-06,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-06,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-06,2023/2024,emboss_baseline_score,total,0.0,1
2023-07-06,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-06,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-06,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-06,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-06,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-06,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-06,2023/2024,soreness_baseline_completeness,soreness,0.032258065,1
2023-07-06,2023/2024,soreness_baseline_composite,soreness,0.0,1
2023-07-06,2023/2024,subjective_baseline_completeness,subjective,0.075268817,1
2023-07-06,2023/2024,subjective_baseline_composite,subjective,0.0,1
2023-07-07,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-07,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-07,2023/2024,emboss_baseline_score,total,-0.18,1
2023-07-07,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
2023-07-07,2023/2024,msk_joint_range_baseline_composite,msk_joint_range,0.17836828179727093,1
2023-07-07,2023/2024,msk_load_tolerance_baseline_completeness,msk_load_tolerance,0.0,1
2023-07-07,2023/2024,msk_load_tolerance_baseline_composite,msk_load_tolerance,-0.04309025469767443,1
2023-07-07,2023/2024,sleep_baseline_completeness,sleep,0.0,1
2023-07-07,2023/2024,sleep_baseline_composite,sleep,-0.0732859895276177,1
2023-07-07,2023/2024,soreness_baseline_completeness,soreness,0.032258065,1
2023-07-07,2023/2024,soreness_baseline_composite,soreness,0.0,1
2023-07-07,2023/2024,subjective_baseline_completeness,subjective,0.064516129,1
2023-07-07,2023/2024,subjective_baseline_composite,subjective,-0.193333333,1
2023-07-08,2023/2024,bio_baseline_completeness,bio,0.0,1
2023-07-08,2023/2024,bio_baseline_composite,bio,-0.053742958186356896,1
2023-07-08,2023/2024,emboss_baseline_score,total,0.0,1
2023-07-08,2023/2024,msk_joint_range_baseline_completeness,msk_joint_range,0.0,1
